Site,Treatment,Year,diapause
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,0
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,1
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.25,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,1
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,0
Sutherlin,15.75,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Sutherlin,16.25,2014,1
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,14.75,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.25,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,1
Ephrata,15.75,2014,1
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,1
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,1
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,1
Ephrata,15.75,2014,0
Ephrata,15.75,2014,1
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,15.75,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Ephrata,16.25,2014,0
Ephrata,16.25,2014,1
Ephrata,16.25,2014,1
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,14.75,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.25,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,1
Bellingham,15.75,2014,1
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,15.75,2014,1
Bellingham,15.75,2014,0
Bellingham,15.75,2014,1
Bellingham,15.75,2014,1
Bellingham,15.75,2014,1
Bellingham,15.75,2014,1
Bellingham,15.75,2014,0
Bellingham,15.75,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Bellingham,16.25,2014,1
Bellingham,16.25,2014,1
Bellingham,16.25,2014,0
Sutherlin,15.2,2013,0
Sutherlin,15.2,2013,0
Sutherlin,15.2,2013,0
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,0
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,0
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,1
Sutherlin,15.2,2013,0
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,0
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,0
Sutherlin,15.6,2013,1
Sutherlin,15.6,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Sutherlin,16.4,2013,1
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,1
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.2,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,15.6,2013,0
Bellingham,16,2013,0
Bellingham,16,2013,1
Bellingham,16,2013,1
Bellingham,16,2013,1
Bellingham,16,2013,1
Bellingham,16,2013,1
Bellingham,16,2013,1
Bellingham,16.4,2013,0
Bellingham,16.4,2013,1
Bellingham,16.4,2013,1
Bellingham,16.4,2013,1
Bellingham,16.4,2013,0
Bellingham,16.4,2013,0
Bellingham,16.4,2013,0
Bellingham,16.4,2013,1
